date,activity_id,start_time_local,activity_name,distance,duration,avg_pace,elev_gain,elev_gain_per_mile,steps,cadence,minhr,maxhr,avghr,calories,resting_hr,activity_type,last_synced_at
2026-08-18,24030381426,2026-08-18T21:10:05.0,Harrisburg Running,1.49,0:18:57,00:12:43,72.18,48.44,3026,160,87,160,140,149,51,Run,2026-08-19T01:31:33.939772+00:00
2026-08-16,24003589106,2026-08-16T16:39:29.0,Washington Running,1.34,0:17:34,00:13:07,68.9,51.42,2786,158,108,167,148,141,57,Run,2026-08-19T01:31:33.560053+00:00
2026-08-09,23916866298,2026-08-09T17:40:58.0,Portland Running,3.0,0:42:03,00:14:01,180.45,60.15,6356,151,123,191,171,422,59,Run,2026-08-19T01:31:33.111248+00:00
2026-07-31,23805981236,2026-07-31T19:09:57.0,Harrisburg Running,2.02,0:26:30,00:13:07,59.06,29.24,3996,151,106,184,157,248,58,Run,2026-08-16T20:59:21.173685+00:00
2026-07-29,23783375652,2026-07-29T22:04:36.0,Treadmill Running,1.44,0:20:33,00:14:16,0.0,0.0,3192,155,82,147,137,175,58,Treadmill run,2026-08-16T20:59:20.767936+00:00
2026-07-24,23720385676,2026-07-24T18:34:01.0,Harrisburg Running,1.44,0:18:28,00:12:49,59.06,41.01,2752,149,113,167,147,169,55,Run,2026-08-09T22:36:45.875794+00:00
2026-07-20,23671887362,2026-07-20T21:24:40.0,Treadmill Running,1.24,0:19:20,00:15:35,0.0,0.0,2996,155,85,148,136,157,54,Treadmill run,2026-08-09T22:36:45.464271+00:00
2026-07-18,23647397507,2026-07-18T18:41:05.0,Treadmill Running,1.21,0:16:33,00:13:41,0.0,0.0,2632,159,89,159,147,164,54,Treadmill run,2026-08-09T22:36:44.828898+00:00
2026-07-12,23576841004,2026-07-12T22:54:58.0,Pittsburgh Running,1.59,0:20:01,00:12:35,36.09,22.7,3252,162,111,168,152,181,52,Run,2026-07-30T02:30:03.766703+00:00
2026-07-10,23553395318,2026-07-10T22:08:25.0,Pittsburgh Running,1.67,0:22:13,00:13:18,32.81,19.65,3478,156,103,161,146,183,57,Run,2026-07-30T02:30:03.443853+00:00
2026-07-06,23505297947,2026-07-06T21:53:22.0,Pittsburgh Running,1.25,0:17:08,00:13:42,26.25,21.0,2712,158,116,152,142,131,57,Run,2026-07-24T22:56:34.862241+00:00
2026-07-02,23460179011,2026-07-02T22:13:52.0,Pittsburgh Running,1.76,0:24:00,00:13:38,59.06,33.56,3794,158,111,158,144,185,57,Run,2026-07-18T23:00:47.899762+00:00
2026-07-01,23437561856,2026-07-01T00:32:55.0,Pittsburgh Running,1.26,0:18:34,00:14:44,32.81,26.04,3094,167,111,149,139,135,57,Run,2026-07-18T23:00:47.582286+00:00
2026-06-28,23413095189,2026-06-28T21:17:15.0,Pittsburgh Running,1.62,0:22:35,00:13:56,45.93,28.35,3408,151,80,148,136,165,58,Run,2026-07-18T23:00:47.248773+00:00
2026-06-21,23333998816,2026-06-21T18:38:40.0,Pittsburgh Running,1.7,0:26:23,00:15:31,62.34,36.67,3826,145,113,149,137,176,59,Run,2026-07-07T02:13:40.353828+00:00
2026-06-19,23310731072,2026-06-19T18:06:40.0,Pittsburgh Running,1.87,0:27:54,00:14:55,82.02,43.86,4148,149,105,149,136,187,61,Run,2026-07-07T02:13:40.048466+00:00
2026-06-16,23275573406,2026-06-16T17:32:07.0,Pittsburgh Running,1.8,0:19:34,00:10:52,62.34,34.63,3220,165,104,197,174,228,63,Run,2026-07-01T04:54:35.001153+00:00
2026-06-13,23241007991,2026-06-13T23:28:42.0,Pittsburgh Running,1.58,0:22:29,00:14:14,91.86,58.14,3334,148,114,158,139,178,58,Run,2026-06-29T01:45:10.181678+00:00
2026-06-10,23206780260,2026-06-10T21:56:42.0,Pittsburgh Running,1.02,0:13:17,00:13:01,36.09,35.38,2020,152,104,165,144,116,60,Run,2026-06-29T01:45:09.899503+00:00
2026-06-08,23182087907,2026-06-08T21:28:54.0,Pittsburgh Running,1.57,0:21:37,00:13:46,65.62,41.8,3312,153,112,170,148,188,57,Run,2026-06-29T01:45:09.599444+00:00
2026-06-03,23121573873,2026-06-03T18:06:06.0,Pittsburgh Running,1.67,0:23:26,00:14:02,65.62,39.29,3520,150,108,161,143,190,59,Run,2026-06-19T22:40:53.081699+00:00
2026-06-01,23097553000,2026-06-01T20:05:27.0,Pittsburgh Running,1.46,0:20:00,00:13:42,75.46,51.68,3076,154,113,159,145,170,59,Run,2026-06-16T21:57:44.114503+00:00
2026-05-30,23073213282,2026-05-30T19:28:50.0,Pittsburgh Running,1.47,0:20:01,00:13:37,65.62,44.64,3176,159,102,168,143,166,60,Run,2026-06-14T04:02:33.523303+00:00
2026-05-19,22941901941,2026-05-19T18:52:54.0,Pittsburgh Running,1.61,0:20:08,00:12:30,59.06,36.68,2992,149,98,177,154,199,59,Run,2026-06-03T22:32:27.847351+00:00
2026-05-17,22918018517,2026-05-17T17:41:43.0,Pittsburgh Running,1.45,0:18:59,00:13:06,75.46,52.04,2784,147,133,185,161,202,58,Run,2026-06-02T00:29:10.338235+00:00
2026-05-14,22882799296,2026-05-14T15:27:51.0,Pittsburgh Running,1.6,0:21:02,00:13:09,72.18,45.11,3036,144,92,165,141,184,59,Run,2026-05-30T23:53:21.701438+00:00
2026-04-27,22680465694,2026-04-27T13:29:37.0,Treadmill Running,1.34,0:19:49,00:14:47,0.0,0.0,2574,130,106,147,131,160,59,Treadmill run,2026-05-14T19:55:36.871985+00:00
2026-04-24,22643821745,2026-04-24T11:34:09.0,Treadmill Running,1.57,0:19:58,00:12:43,0.0,0.0,2842,142,106,157,140,187,59,Treadmill run,2026-05-14T19:55:36.017770+00:00
2026-04-22,22621967237,2026-04-22T13:52:19.0,Treadmill Running,1.39,0:19:39,00:14:08,0.0,0.0,2654,135,126,150,138,176,57,Treadmill run,2026-05-14T19:55:35.335391+00:00
